Company,Age,Salary,Place,Country,Gender
TCS,20,,Chennai,India,0
Infosys,30,,Mumbai,India,0
TCS,35,2300,Calcutta,India,0
Infosys,40,3000,Delhi,India,0
TCS,23,4000,Mumbai,India,0
Infosys,,5000,Calcutta,India,0
TCS,,6000,Chennai,India,1
Infosys,23,7000,Mumbai,India,1
TCS,34,8000,Calcutta,India,1
CTS,45,9000,Delhi,India,0
CTS,23,,Mumbai,India,0
CTS,34,1089,Calcutta,India,0
CTS,45,,Chennai,India,0
CTS,18,1234,Mumbai,India,0
Infosys,40,3000,Calcutta,India,0
TCS,23,3000,Delhi,India,0
Infosys,23,3030,Podicherry,India,0
TCS,34,5000,Cochin,India,0
TCS,22,,Chennai,India,0
Infosys,32,,Mumbai,India,0
TCS,37,3045,Calcutta,India,0
Infosys,50,3184,Delhi,India,0
TCS,21,4824,Mumbai,India,0
Infosys,,5835,Cochin,India,0
TCS,,7084,Chennai,India,1
Infosys,23,8943,Mumbai,India,1
TCS,34,8345,Calcutta,India,1
CTS,45,9284,Delhi,India,1
CTS,23,9876,Mumbai,India,1
CTS,35,2034,Cochin,India,0
CTS,46,7654,Chennai,India,0
CTS,20,2934,Mumbai,India,0
Infosys,45,4034,Calcutta,India,0
TCS,36,5034,,India,0
Infosys,26,8202,,India,0
TCS,35,9024,,India,1
TCS,32,,Noida,India,0
,35,,Hyderabad,India,0
TCS,34,2300,Calcutta,India,0
Infosys,41,3000,Mumbai,India,0
TCS,24,4345,Calcutta,India,0
Infosys,,5000,,India,0
TCS,,6000,,India,0
Infosys,25,7000,,India,0
TCS,35,8000,Noida,India,1
CTS,46,9000,Hyderabad,India,1
CTS,24,,Calcutta,India,0
CTS,32,1089,Mumbai,India,0
CTS,43,,Mumbai,India,0
CTS,19,1234,Cochin,India,0
Infosys,41,3000,Chennai,India,0
,24,3000,Mumbai,India,0
Infosys,21,3030,Calcutta,India,0
TCS,35,5000,Delhi,India,0
TCS,21,6544,Mumbai,India,0
Infosys,32,7654,Cochin,India,0
TCS,38,3045,Noida,India,0
Infosys,51,3184,Hyderabad,India,0
TCS,23,4824,Calcutta,India,0
Infosys,,5835,Mumbai,India,0
TCS,,7084,Calcutta,India,0
,25,8943,,India,1
Tata Consultancy Services,36,8345,,India,1
CTS,41,9284,,India,1
,25,6543,Noida,India,0
CTS,31,2034,Hyderabad,India,0
CTS,41,,Calcutta,India,0
Congnizant,21,2934,Mumbai,India,0
Infosys,43,4034,Mumbai,India,0
TCS,32,5034,Cochin,India,0
Infosys Pvt Lmt,21,8202,Chennai,India,0
TCS,34,9024,Mumbai,India,1
TCS,24,,Calcutta,India,0
Infosys,34,,Delhi,India,0
TCS,37,2300,Mumbai,India,0
Infosys,44,3000,Cochin,India,0
TCS,32,4000,Noida,India,0
Infosys,,5000,Hyderabad,India,0
TCS,,6000,Calcutta,India,0
Infosys,26,7000,Bhopal,India,0
TCS,32,8000,Nagpur,India,0
CTS,43,9000,Pune,India,1
CTS,22,,Pune,India,0
CTS,33,1089,Chennai,India,0
CTS,43,,Mumbai,India,0
CTS,17,1234,Calcutta,India,0
Infosys,41,3000,Delhi,India,0
TCS,21,3000,Mumbai,India,0
Infosys,0,3030,Calcutta,India,0
TCS,36,5000,Chennai,India,0
TCS,21,,Mumbai,India,0
Infosys,34,,Calcutta,India,0
TCS,0,3045,Delhi,India,0
Infosys,54,3184,Mumbai,India,0
TCS,22,4824,Calcutta,India,0
Infosys,,5835,Chennai,India,0
TCS,,7084,Mumbai,India,1
Infosys,22,8943,Calcutta,India,1
TCS,33,8345,Delhi,India,1
CTS,44,9284,Podicherry,India,1
CTS,22,,Cochin,India,0
CTS,0,2034,Podicherry,India,0
CTS,44,,Mumbai,India,0
CTS,22,2934,Calcutta,India,0
Infosys,44,4034,Delhi,India,0
TCS,33,5034,Mumbai,India,0
Infosys,22,8202,Cochin,India,1
TCS,0,9024,Chennai,India,1
TCS,33,,Mumbai,India,0
,33,,Calcutta,India,0
TCS,33,2300,Delhi,India,0
Infosys,0,3234,Mumbai,India,0
TCS,22,4324,Cochin,India,0
Infosys,,5435,Chennai,India,0
TCS,,5555,Mumbai,India,0
Infosys,22,8787,Calcutta,India,0
TCS,33,8787,,India,1
CTS,44,9876,,India,1
CTS,22,,,India,0
CTS,33,1089,Noida,India,0
CTS,44,,Hyderabad,India,0
CTS,0,1234,Calcutta,India,0
Infosys,44,3234,Mumbai,India,0
,,3454,Calcutta,India,0
Infosys,22,8787,Calcutta,India,1
TCS,33,5654,,India,1
TCS,20,5009,,India,1
Infosys,30,5098,Noida,India,0
TCS,33,3045,Hyderabad,India,0
Infosys,50,3184,Calcutta,India,0
TCS,21,4824,Mumbai,India,0
Infosys,,5835,Mumbai,India,0
TCS,,7084,Cochin,India,1
,22,8943,Chennai,India,0
Tata Consultancy Services,31,8345,Mumbai,India,0
CTS,40,9284,Calcutta,India,1
,,,Delhi,India,0
CTS,31,2034,Mumbai,India,0
CTS,44,3033,Cochin,India,0
Congnizant,22,2934,Noida,India,0
Infosys,44,4034,Hyderabad,India,0
TCS,33,5034,Calcutta,India,0
Infosys Pvt Lmt,22,8202,Mumbai,India,0
TCS,33,9024,Calcutta,India,1
Infosys,22,8787,Calcutta,India,1
Infosys,44,4034,Delhi,India,1
TCS,33,5034,Mumbai,India,1
Infosys,22,8202,Cochin,India,0
