Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1832.9960358842063
FDW14,OUT017,1558.5677447146322
NCN55,OUT010,1882.4897815926515
FDQ58,OUT017,2617.599744277608
FDY38,OUT027,5133.173734966848
FDH56,OUT046,1954.347144196464
FDL48,OUT018,593.8158519561647
FDC48,OUT027,2780.4209635218203
FDN33,OUT045,1555.130814685187
FDA36,OUT017,3127.2724110365925
FDT44,OUT017,2060.7689656552907
FDQ56,OUT045,1396.1511093726026
NCC54,OUT019,1874.5233284381395
FDU11,OUT049,2061.475532328792
DRL59,OUT013,905.8064295062537
FDM24,OUT049,2556.725915645242
FDI57,OUT045,3324.806371130171
DRC12,OUT018,2750.550121617908
NCM42,OUT027,3185.5221326069177
FDA46,OUT010,1122.651463461174
FDA31,OUT013,2834.99912287904
NCJ31,OUT035,3790.1542317292333
FDG52,OUT046,772.2017002579782
NCL19,OUT019,369.74581108663847
FDS10,OUT035,2914.480047989005
FDX22,OUT010,1451.0402866132868
NCF19,OUT035,816.1028163646083
NCE06,OUT046,2529.601427105409
DRC27,OUT046,3865.642310868278
FDE21,OUT035,1960.5148430662816
NCR42,OUT019,-1373.5398433267194
FDX51,OUT018,2869.5158980115298
NCR06,OUT018,415.54236766493943
FDU31,OUT027,4978.736922304002
FDU59,OUT017,2758.8520998670424
FDR03,OUT027,4756.5134808548455
FDS49,OUT027,2781.1723305675614
FDD48,OUT010,-71.97624509258219
NCF18,OUT017,3145.549626069387
NCD43,OUT027,3090.380557926278
NCD54,OUT018,1979.049785547344
FDY19,OUT010,-10.34483485159933
NCY54,OUT017,2845.263300066755
NCL19,OUT018,2024.0380599227142
FDP23,OUT010,1540.9679997093913
FDC26,OUT013,1848.2553493269515
FDR14,OUT010,-1086.787938069096
NCS41,OUT035,2952.5211219189578
FDF41,OUT035,3927.9692764332726
FDU34,OUT046,1986.8697900586121
DRH11,OUT046,945.4240687077711
FDM03,OUT013,1736.2011318845489
FDS31,OUT017,3094.648430528081
FDJ20,OUT017,2163.4450197002043
FDV44,OUT027,4522.975753133947
FDG02,OUT049,3136.2665417565313
FDA09,OUT013,2918.1211022949906
FDT04,OUT013,645.7288975603815
FDL58,OUT019,2281.7474140862178
FDE52,OUT045,1448.374021253731
FDW12,OUT035,2412.5873192907648
FDL51,OUT017,3539.333957758769
NCY42,OUT027,3681.7536770791367
FDR07,OUT017,1729.122322085695
FDN40,OUT045,2392.5313970098196
FDB35,OUT027,2979.253942094251
FDA22,OUT017,2802.893273816625
NCL06,OUT046,4106.101904995368
FDI35,OUT013,2939.5974946961696
NCW42,OUT045,3457.0808525277394
NCX06,OUT049,2930.2741804156803
FDC37,OUT027,3199.074902034018
FDZ14,OUT018,1682.827333816097
DRG49,OUT049,3948.643302917778
NCG06,OUT045,4004.1338578009877
DRC36,OUT045,2768.938349564878
FDV21,OUT019,43.93173017224808
FDB53,OUT046,2326.5034728863898
DRP47,OUT019,2053.586873595942
FDA14,OUT013,2296.846061100953
DRC24,OUT035,2464.7344516702597
FDW21,OUT018,1395.2213832421103
NCH29,OUT046,1573.63910151231
FDU58,OUT013,3069.3799359274967
FDY27,OUT017,2926.1182410400966
FDV56,OUT035,1884.6996200309773
FDT59,OUT046,3665.36644721843
FDB23,OUT046,3645.776976057539
FDR49,OUT045,774.3864008038711
FDB03,OUT010,1862.9557128121492
FDN39,OUT045,2665.975251635325
FDX02,OUT027,4933.432807852009
FDQ16,OUT027,3163.1657384529126
FDU35,OUT018,1333.643161452028
NCT29,OUT013,1979.951310069886
FDZ27,OUT046,769.6000022675705
FDN57,OUT017,2375.4980898249605
FDA03,OUT018,2040.2755730789186
FDZ36,OUT045,2981.0710099415883
NCU05,OUT013,1343.2463334806662
FDT39,OUT018,2191.5075870224146
FDK60,OUT017,1745.935860497681
FDZ25,OUT017,2911.479843617676
FDG12,OUT046,2017.2994689639777
DRB01,OUT019,1103.5337501567335
NCC43,OUT027,5365.337678821779
FDX13,OUT019,2059.953155732551
FDM22,OUT049,1016.0167361705824
FDJ03,OUT027,2256.8272953569267
FDU14,OUT018,3617.916643125875
FDB33,OUT010,661.4171507725306
FDP27,OUT046,3016.166990053368
FDO38,OUT010,-646.8719072859153
FDE28,OUT027,5119.246745446857
FDO27,OUT035,1609.3127981786415
DRL23,OUT027,3185.402285614943
FDS28,OUT046,940.4764070110105
FDX24,OUT013,1543.2656537020907
FDZ02,OUT035,1607.089147200352
FDL46,OUT045,1853.6814157119757
FDS60,OUT027,4298.503773802791
NCO06,OUT017,662.2992043209667
FDO16,OUT035,1411.462269704447
FDC60,OUT049,1547.2802139988341
FDA48,OUT018,3197.496015174111
FDZ36,OUT027,4452.721311245188
FDK27,OUT045,1937.8351069173273
FDW23,OUT018,382.629522952814
FDM14,OUT018,1532.7691883981825
FDM14,OUT013,1811.7616320397765
FDW60,OUT018,2605.592865014815
FDE21,OUT013,1940.8831065794752
NCM42,OUT035,1783.3882992306403
FDY59,OUT010,-384.11352041154714
DRI49,OUT049,1364.5792415479496
FDT28,OUT019,482.9443949365084
FDQ22,OUT018,391.49121411473845
FDR60,OUT049,1329.1337891818036
FDC50,OUT019,-374.3816984561065
FDV24,OUT013,2446.3652204929826
DRF48,OUT010,1060.2930276353695
FDQ47,OUT046,652.1425063772851
DRN36,OUT049,1645.8670170107898
NCY06,OUT035,2070.517082542774
FDE52,OUT035,1501.184248447543
NCB54,OUT045,2015.6251086707866
